Well ID,Sample,Time,M4 Count,M3 % All,,Run Time
A1,Sample1,5/31/2018 18:31,10923,4.56%,18.51916667,0.078055556
A1,Sample97,5/31/2018 21:06,3371,4.39%,21.10972222,2.668611111
A1,Sample193,5/31/2018 23:57,3520,5.14%,23.96194444,5.520833333
A1,Sample289,6/1/2018 9:46,12000,0.10%,33.77805556,15.33694444
A10,Sample10,5/31/2018 18:56,3589,0.03%,18.9375,0.496388889
A10,Sample106,5/31/2018 21:20,374,24.06%,21.34,2.898888889
A10,Sample202,6/1/2018 0:18,726,30.85%,24.30944444,5.868333333
A10,Sample298,6/1/2018 10:00,2640,2.69%,34.00694444,15.56583333
A11,Sample11,5/31/2018 18:57,6604,0.05%,18.96305556,0.521944445
A11,Sample107,5/31/2018 21:21,473,25.79%,21.36555556,2.924444445
A11,Sample203,6/1/2018 0:20,1841,13.91%,24.34805556,5.906944445
A11,Sample299,6/1/2018 10:01,1298,3.62%,34.03277778,15.59166667
A12,Sample12,5/31/2018 18:59,4798,0.03%,18.98861111,0.5475
A12,Sample108,5/31/2018 21:23,572,14.16%,21.39111111,2.95
A12,Sample204,6/1/2018 0:23,1272,11.08%,24.38666667,5.945555556
A12,Sample300,6/1/2018 10:03,1716,1.98%,34.05833333,15.61722222
A2,Sample2,5/31/2018 18:41,6189,0.14%,18.69694444,0.255833333
A2,Sample98,5/31/2018 21:08,1826,18.24%,21.13527778,2.694166667
A2,Sample194,6/1/2018 0:00,8980,4.87%,24.00055556,5.559444445
A2,Sample290,6/1/2018 9:48,2827,1.73%,33.80222222,15.36111111
A3,Sample3,5/31/2018 18:45,4068,3.34%,18.75833333,0.317222222
A3,Sample99,5/31/2018 21:09,1890,5.08%,21.16083333,2.719722222
A3,Sample195,6/1/2018 0:02,6304,3.74%,24.03916667,5.598055556
A3,Sample291,6/1/2018 9:49,2376,1.98%,33.82777778,15.38666667
A4,Sample4,5/31/2018 18:47,4792,3.30%,18.78388889,0.342777778
A4,Sample100,5/31/2018 21:11,2574,4.62%,21.18638889,2.745277778
A4,Sample196,6/1/2018 0:04,3289,5.62%,24.07777778,5.636666667
A4,Sample292,6/1/2018 9:51,7539,0.31%,33.85361111,15.4125
A5,Sample5,5/31/2018 18:48,2857,6.13%,18.80972222,0.368611111
A5,Sample101,5/31/2018 21:12,689,19.01%,21.21194444,2.770833333
A5,Sample197,6/1/2018 0:06,1420,19.65%,24.11638889,5.675277778
A5,Sample293,6/1/2018 9:52,979,7.15%,33.87916667,15.43805556
A6,Sample6,5/31/2018 18:50,1308,10.02%,18.83527778,0.394166667
A6,Sample102,5/31/2018 21:14,704,22.87%,21.2375,2.796388889
A6,Sample198,6/1/2018 0:09,3432,14.42%,24.155,5.713888889
A6,Sample294,6/1/2018 9:54,900,8.67%,33.90472222,15.46361111
A7,Sample7,5/31/2018 18:51,9139,2.55%,18.86083333,0.419722222
A7,Sample103,5/31/2018 21:15,1155,13.51%,21.26333333,2.822222222
A7,Sample199,6/1/2018 0:11,2340,11.67%,24.19361111,5.7525
A7,Sample295,6/1/2018 9:55,4387,1.12%,33.93027778,15.48916667
A8,Sample8,5/31/2018 18:53,2617,6.19%,18.88638889,0.445277778
A8,Sample104,5/31/2018 21:17,605,26.94%,21.28888889,2.847777778
A8,Sample200,6/1/2018 0:13,1056,28.22%,24.23222222,5.791111111
A8,Sample296,6/1/2018 9:57,836,9.93%,33.95583333,15.51472222
A9,Sample9,5/31/2018 18:54,1566,0.03%,18.91194444,0.470833333
A9,Sample105,5/31/2018 21:18,636,16.82%,21.31444444,2.873333333
A9,Sample201,6/1/2018 0:16,1133,19.68%,24.27083333,5.829722222
A9,Sample297,6/1/2018 9:58,1283,4.29%,33.98138889,15.54027778
B1,Sample13,5/31/2018 19:00,1973,0.03%,19.01416667,0.573055556
B1,Sample109,5/31/2018 21:25,779,18.74%,21.41666667,2.975555556
B1,Sample205,6/1/2018 0:25,2064,16.42%,24.42555556,5.984444445
B1,Sample301,6/1/2018 10:05,583,13.38%,34.08388889,15.64277778
B10,Sample22,5/31/2018 19:14,465,0.06%,19.24472222,0.803611111
B10,Sample118,5/31/2018 21:38,176,44.89%,21.64722222,3.206111111
B10,Sample214,6/1/2018 0:46,495,20.20%,24.77555556,6.334444445
B10,Sample310,6/1/2018 10:18,341,10.56%,34.315,15.87388889
B11,Sample23,5/31/2018 19:16,644,0.02%,19.27027778,0.829166667
B11,Sample119,5/31/2018 21:40,275,29.09%,21.67277778,3.231666667
B11,Sample215,6/1/2018 0:48,396,18.43%,24.81444444,6.373333333
B11,Sample311,6/1/2018 10:20,1056,1.61%,34.34055556,15.89944444
B12,Sample24,5/31/2018 19:17,1053,0.01%,19.29583333,0.854722222
B12,Sample120,5/31/2018 21:41,704,11.51%,21.69833333,3.257222222
B12,Sample216,6/1/2018 0:51,1573,5.28%,24.85277778,6.411666667
B12,Sample312,6/1/2018 10:21,1507,0.33%,34.36611111,15.925
B2,Sample14,5/31/2018 19:02,4623,0.08%,19.04,0.598888889
B2,Sample110,5/31/2018 21:26,682,31.82%,21.44222222,3.001111111
B2,Sample206,6/1/2018 0:27,1044,31.13%,24.46416667,6.023055556
B2,Sample302,6/1/2018 10:06,187,53.48%,34.11027778,15.66916667
B3,Sample15,5/31/2018 19:03,3134,0.03%,19.06555556,0.624444445
B3,Sample111,5/31/2018 21:28,946,17.55%,21.46805556,3.026944445
