Well ID,Sample,,M2 % All,,Run Time
A1,Sample1,5/31/2018 18:31,3.94%,18.52,18.51666667
A1,Sample97,5/31/2018 21:06,3.83%,21.10,21.1
A1,Sample193,5/31/2018 23:57,3.92%,23.95,23.95
A1,Sample289,6/1/2018 9:46,0.09%,33.77,33.76666667
A10,Sample10,5/31/2018 18:56,0.02%,18.93,18.93333333
A10,Sample106,5/31/2018 21:20,15.78%,21.33,21.33333333
A10,Sample202,6/1/2018 0:18,18.60%,24.30,24.3
A10,Sample298,6/1/2018 10:00,1.25%,34.00,34
A11,Sample11,5/31/2018 18:57,0.02%,18.95,18.95
A11,Sample107,5/31/2018 21:21,19.66%,21.35,21.35
A11,Sample203,6/1/2018 0:20,8.96%,24.33,24.33333333
A11,Sample299,6/1/2018 10:01,2.54%,34.02,34.01666667
A12,Sample12,5/31/2018 18:59,0.02%,18.98,18.98333333
A12,Sample108,5/31/2018 21:23,9.44%,21.38,21.38333333
A12,Sample204,6/1/2018 0:23,7.23%,24.38,24.38333333
A12,Sample300,6/1/2018 10:03,1.69%,34.05,34.05
A2,Sample2,5/31/2018 18:41,0.11%,18.68,18.68333333
A2,Sample98,5/31/2018 21:08,16.37%,21.13,21.13333333
A2,Sample194,6/1/2018 0:00,4.15%,24.00,24
A2,Sample290,6/1/2018 9:48,1.20%,33.80,33.8
A3,Sample3,5/31/2018 18:45,2.38%,18.75,18.75
A3,Sample99,5/31/2018 21:09,3.44%,21.15,21.15
A3,Sample195,6/1/2018 0:02,2.08%,24.03,24.03333333
A3,Sample291,6/1/2018 9:49,1.26%,33.82,33.81666667
A4,Sample4,5/31/2018 18:47,2.34%,18.78,18.78333333
A4,Sample100,5/31/2018 21:11,3.03%,21.18,21.18333333
A4,Sample196,6/1/2018 0:04,3.65%,24.07,24.06666667
A4,Sample292,6/1/2018 9:51,0.20%,33.85,33.85
A5,Sample5,5/31/2018 18:48,4.41%,18.80,18.8
A5,Sample101,5/31/2018 21:12,15.82%,21.20,21.2
A5,Sample197,6/1/2018 0:06,15.28%,24.10,24.1
A5,Sample293,6/1/2018 9:52,4.80%,33.87,33.86666667
A6,Sample6,5/31/2018 18:50,6.73%,18.83,18.83333333
A6,Sample102,5/31/2018 21:14,17.76%,21.23,21.23333333
A6,Sample198,6/1/2018 0:09,9.70%,24.15,24.15
A6,Sample294,6/1/2018 9:54,5.67%,33.90,33.9
A7,Sample7,5/31/2018 18:51,0.20%,18.85,18.85
A7,Sample103,5/31/2018 21:15,7.10%,21.25,21.25
A7,Sample199,6/1/2018 0:11,7.09%,24.18,24.18333333
A7,Sample295,6/1/2018 9:55,0.48%,33.92,33.91666667
A8,Sample8,5/31/2018 18:53,3.74%,18.88,18.88333333
A8,Sample104,5/31/2018 21:17,20.33%,21.28,21.28333333
A8,Sample200,6/1/2018 0:13,21.97%,24.22,24.21666667
A8,Sample296,6/1/2018 9:57,6.46%,33.95,33.95
A9,Sample9,5/31/2018 18:54,0.02%,18.90,18.9
A9,Sample105,5/31/2018 21:18,12.11%,21.30,21.3
A9,Sample201,6/1/2018 0:16,15.62%,24.27,24.26666667
A9,Sample297,6/1/2018 9:58,2.81%,33.97,33.96666667
B1,Sample13,5/31/2018 19:00,0.02%,19.00,19
B1,Sample109,5/31/2018 21:25,14.63%,21.42,21.41666667
B1,Sample205,6/1/2018 0:25,12.45%,24.42,24.41666667
B1,Sample301,6/1/2018 10:05,8.58%,34.08,34.08333333
B10,Sample22,5/31/2018 19:14,0.05%,19.23,19.23333333
B10,Sample118,5/31/2018 21:38,32.95%,21.63,21.63333333
B10,Sample214,6/1/2018 0:46,15.56%,24.77,24.76666667
B10,Sample310,6/1/2018 10:18,6.74%,34.30,34.3
B11,Sample23,5/31/2018 19:16,0.01%,19.27,19.26666667
B11,Sample119,5/31/2018 21:40,23.27%,21.67,21.66666667
B11,Sample215,6/1/2018 0:48,12.12%,24.80,24.8
B11,Sample311,6/1/2018 10:20,0.95%,34.33,34.33333333
B12,Sample24,5/31/2018 19:17,0.01%,19.28,19.28333333
